year,player_id,last_name,first_name,bat,throw,team_id,main_position
1916,agnes101,Agnew,Sam,R,R,BOS,C
1916,barrj104,Barry,Jack,R,R,BOS,2B
1916,cadyh101,Cady,Hick,R,R,BOS,C
1916,carrb101,Carrigan,Bill,R,R,BOS,C
1916,fostr103,Foster,Rube,R,R,BOS,P
1916,gaind101,Gainer,Del,R,R,BOS,1B
1916,gardl101,Gardner,Larry,L,R,BOS,3B
1916,gregv101,Gregg,Vean,R,L,BOS,P
1916,haler101,Haley,Raymond,R,R,BOS,PH
1916,henro101,Henriksen,Olaf,L,L,BOS,OF
1916,hobld101,Hoblitzell,Dick,L,R,BOS,1B
1916,hooph101,Hooper,Harry,L,R,BOS,OF
1916,janvh101,Janvrin,Hal,R,R,BOS,SS
1916,jones104,Jones,Sad Sam,R,R,BOS,P
1916,leond102,Leonard,Dutch,L,L,BOS,P
1916,lewid101,Lewis,Duffy,R,R,BOS,OF
1916,maysc101,Mays,Carl,L,R,BOS,P
1916,mcham101,McHale,Marty,R,R,BOS,P
1916,mcnam101,McNally,Mike,R,R,BOS,2B
1916,pennh101,Pennock,Herb,B,L,BOS,P
1916,ruthb101,Ruth,Babe,L,L,BOS,P
1916,scote101,Scott,Everett,R,R,BOS,SS
1916,shorc101,Shorten,Chick,L,L,BOS,OF
1916,shore101,Shore,Ernie,R,R,BOS,P
1916,thomp101,Thomas,Pinch,L,R,BOS,C
1916,wagnh103,Wagner,Heinie,R,R,BOS,3B
1916,walkt101,Walker,Tillie,R,R,BOS,OF
1916,walsj108,Walsh,Jimmy,R,R,BOS,OF
1916,wyckj101,Wyckoff,Weldon,R,R,BOS,P
1917,agnes101,Agnew,Sam,R,R,BOS,C
1917,badek101,Bader,King,L,R,BOS,P
1917,barrj104,Barry,Jack,R,R,BOS,2B
1917,cadyh101,Cady,Hick,R,R,BOS,C
1917,coonj103,Cooney,Jimmy,R,R,BOS,2B
1917,fostr103,Foster,Rube,R,R,BOS,P
1917,gaind101,Gainer,Del,R,R,BOS,1B
1917,gardl101,Gardner,Larry,L,R,BOS,3B
1917,henro101,Henriksen,Olaf,L,L,BOS,PH
1917,hobld101,Hoblitzell,Dick,L,R,BOS,1B
1917,hooph101,Hooper,Harry,L,R,BOS,OF
1917,janvh101,Janvrin,Hal,R,R,BOS,2B
1917,jones104,Jones,Sad Sam,R,R,BOS,P
1917,leond102,Leonard,Dutch,L,L,BOS,P
1917,lewid101,Lewis,Duffy,R,R,BOS,OF
