year,team_id,league,city,nickname
1916,BOS,A,Boston,Red Sox
1916,CHA,A,Chicago,White Sox
1916,CLE,A,Cleveland,Indians
1916,DET,A,Detroit,Tigers
1916,NYA,A,New York,Yankees
1916,PHA,A,Philadelphia,Athletics
1916,SLA,A,St.Louis,Browns
1916,WS1,A,Washington,Senators
1916,BRO,N,Brooklyn,Dodgers
1916,BSN,N,Boston,Braves
1916,CHN,N,Chicago,Cubs
1916,CIN,N,Cincinnati,Reds
1916,NY1,N,New York,Giants
1916,PHI,N,Philadelphia,Phillies
1916,PIT,N,Pittsburgh,Pirates
1916,SLN,N,St.Louis,Cardinals
1917,BOS,A,Boston,Red Sox
1917,CHA,A,Chicago,White Sox
1917,CLE,A,Cleveland,Indians
1917,DET,A,Detroit,Tigers
1917,NYA,A,New York,Yankees
1917,PHA,A,Philadelphia,Athletics
1917,SLA,A,St.Louis,Browns
1917,WS1,A,Washington,Senators
1917,BRO,N,Brooklyn,Dodgers
1917,BSN,N,Boston,Braves
1917,CHN,N,Chicago,Cubs
1917,CIN,N,Cincinnati,Reds
1917,NY1,N,New York,Giants
1917,PHI,N,Philadelphia,Phillies
1917,PIT,N,Pittsburgh,Pirates
1917,SLN,N,St.Louis,Cardinals
1918,BOS,A,Boston,Red Sox
1918,CHA,A,Chicago,White Sox
1918,CLE,A,Cleveland,Indians
1918,DET,A,Detroit,Tigers
1918,NYA,A,New York,Yankees
1918,PHA,A,Philadelphia,Athletics
1918,SLA,A,St.Louis,Browns
1918,WS1,A,Washington,Senators
1918,BRO,N,Brooklyn,Dodgers
1918,BSN,N,Boston,Braves
1918,CHN,N,Chicago,Cubs
1918,CIN,N,Cincinnati,Reds
1918,NY1,N,New York,Giants
1918,PHI,N,Philadelphia,Phillies
1918,PIT,N,Pittsburgh,Pirates
1918,SLN,N,St.Louis,Cardinals
1919,BOS,A,Boston,Red Sox
1919,CHA,A,Chicago,White Sox
1919,CLE,A,Cleveland,Indians
1919,DET,A,Detroit,Tigers
1919,NYA,A,New York,Yankees
1919,PHA,A,Philadelphia,Athletics
1919,SLA,A,St.Louis,Browns
1919,WS1,A,Washington,Senators
1919,BRO,N,Brooklyn,Dodgers
1919,BSN,N,Boston,Braves
1919,CHN,N,Chicago,Cubs
1919,CIN,N,Cincinnati,Reds
1919,NY1,N,New York,Giants
1919,PHI,N,Philadelphia,Phillies
1919,PIT,N,Pittsburgh,Pirates
1919,SLN,N,St.Louis,Cardinals
1920,BOS,A,Boston,Red Sox
1920,CHA,A,Chicago,White Sox
1920,CLE,A,Cleveland,Indians
1920,DET,A,Detroit,Tigers
1920,NYA,A,New York,Yankees
1920,PHA,A,Philadelphia,Athletics
1920,SLA,A,St.Louis,Browns
1920,WS1,A,Washington,Senators
1920,BRO,N,Brooklyn,Robins
1920,BSN,N,Boston,Braves
1920,CHN,N,Chicago,Cubs
1920,CIN,N,Cincinnati,Reds
